DATE,OIL,PersonalExpenditure,RealDisposableIncome,M2REAL,Unemployment,InterestRate,FoodIndex
1/1/59,13.9,306.1,2318.4,987.9,6,2.48,29.8
2/1/59,13.9,309.6,2325.4,992.1,5.9,2.43,29.7
3/1/59,14,312.7,2338.7,998.3,5.6,2.8,29.5
4/1/59,14,312.2,2353.8,1001,5.2,2.96,29.5
5/1/59,14,316.1,2366.6,1006.2,5.1,2.9,29.5
6/1/59,13.9,318.2,2374.5,1010.3,5,3.39,29.8
7/1/59,13.9,317.8,2370.8,1012.7,5.1,3.47,29.9
8/1/59,13.8,320.2,2356.8,1015.8,5.2,3.5,29.7
9/1/59,13.8,324.2,2357.8,1014.4,5.5,3.76,29.8
10/1/59,13.8,322.8,2359.5,1010.2,5.7,3.98,29.7
11/1/59,13.8,322.9,2376.6,1012.3,5.8,4,29.5
12/1/59,13.8,322.9,2399.7,1012.6,5.3,3.99,29.5
1/1/60,13.9,323.6,2404.9,1015.3,5.2,3.99,29.5
2/1/60,13.8,325.3,2405.3,1014.6,4.8,3.97,29.4
3/1/60,13.7,330.2,2408.1,1017.7,5.4,3.84,29.5
4/1/60,13.8,336.5,2417.3,1015.9,5.2,3.92,30
5/1/60,13.7,330,2422.6,1017.6,5.1,3.85,30
6/1/60,13.8,330.1,2424.9,1020.9,5.4,3.32,30.2
7/1/60,13.8,331.4,2428.8,1029.1,5.5,3.23,30.2
8/1/60,13.8,331.6,2423.3,1036.5,5.6,2.98,30.1
9/1/60,13.8,333.4,2426.7,1041.5,5.5,2.6,30.2
10/1/60,13.9,335.4,2435.6,1040.3,6.1,2.47,30.3
11/1/60,13.8,335.4,2425.5,1044,6.1,2.44,30.4
12/1/60,13.8,331.3,2414.6,1048,6.6,1.98,30.4
1/1/61,13.9,332.2,2437.9,1052.6,6.6,1.45,30.4
2/1/61,14.1,333.7,2448.1,1060.7,6.9,2.54,30.4
3/1/61,14.1,337.7,2458.4,1066.7,6.9,2.02,30.4
4/1/61,14.1,337.6,2463.4,1073.1,7,1.49,30.4
5/1/61,14.1,339.9,2483.5,1079.8,7.1,1.98,30.3
6/1/61,14.1,340.9,2509.1,1086.8,6.9,1.73,30.3
7/1/61,14.1,340.6,2517.6,1088.2,7,1.17,30.6
8/1/61,14.2,342.1,2517.7,1094.2,6.6,2,30.4
9/1/61,14.1,344.4,2519.9,1099.1,6.7,1.88,30.4
10/1/61,14.1,346.5,2546.6,1104.4,6.5,2.26,30.3
11/1/61,14.1,349.9,2570.1,1112.1,6.1,2.61,30.2
12/1/61,14.1,352.4,2585.8,1118,6,2.33,30.2
1/1/62,14.1,353.2,2579.4,1123.5,5.8,2.15,30.3
2/1/62,14.1,354,2590.9,1129.5,5.5,2.37,30.5
3/1/62,14.1,357.4,2608.1,1137.2,5.6,2.85,30.5
4/1/62,14.1,359,2619.6,1143.7,5.6,2.78,30.6
5/1/62,14.1,362,2621.1,1149.1,5.5,2.36,30.5
6/1/62,14.1,360.4,2621.6,1156.2,5.5,2.68,30.6
7/1/62,14.1,361.4,2633,1160.8,5.4,2.71,30.7
8/1/62,14.1,362.9,2635.5,1165.1,5.7,2.93,30.7
9/1/62,14.2,368.8,2636.3,1166.7,5.6,2.9,31
10/1/62,14.2,366.5,2649.3,1175.8,5.4,2.9,30.8
11/1/62,14.3,371.7,2656.5,1184.3,5.7,2.94,30.8
12/1/62,14.4,373.6,2669,1193.9,5.5,2.93,30.6
1/1/63,14.3,374.4,2688.2,1199.7,5.7,2.92,31
2/1/63,14.3,373.4,2672.3,1207,5.9,3,31
3/1/63,14.3,375,2683.6,1215,5.7,2.98,30.9
4/1/63,14.4,376.4,2694.6,1224.7,5.7,2.9,30.8
5/1/63,14.4,377.2,2705,1232.7,5.9,3,30.8
6/1/63,14.4,381.7,2718.6,1236.2,5.6,2.99,31
7/1/63,14.5,384.4,2721.6,1241.8,5.6,3.02,31.4
8/1/63,14.5,386.3,2732.5,1247.5,5.4,3.49,31.4
9/1/63,14.5,385.5,2752.9,1256.5,5.5,3.48,31.2
10/1/63,14.5,386,2768.9,1262.8,5.5,3.5,31
11/1/63,14.6,389.4,2774.7,1271.9,5.7,3.48,31.1
12/1/63,14.5,394.7,2797.1,1273.3,5.5,3.38,31.2
1/1/64,14.5,396.8,2806.4,1277.3,5.6,3.48,31.3
2/1/64,14.5,400.2,2815.3,1286.3,5.4,3.48,31.4
3/1/64,14.5,401.8,2882.1,1292.2,5.4,3.43,31.3
4/1/64,14.2,402.8,2897.7,1297.9,5.3,3.47,31.3
5/1/64,14.3,408.4,2912.9,1304.7,5.1,3.5,31.2
6/1/64,14.3,411.4,2922.5,1312.8,5.2,3.5,31.4
7/1/64,14.2,414.9,2936.4,1322.1,4.9,3.42,31.7
8/1/64,14.2,417.7,2949.4,1331.4,5,3.5,31.6
